User name,AWS access key,Event time,Event source,Event name,AWS region,Source IP address,User agent,Error code,Resources,Request ID,Event ID,Read-only,Event type,Recipient Account Id,Event category
Accountant,ASIAXSQYFBAB6KWDEHFQ,2021-01-18T22:47:07Z,iam.amazonaws.com,ChangePassword,us-east-1,AWS Internal,AWS Internal,,[],89149d31-aeb9-4d92-b68f-12ada50b336b,64a43342-1395-4e92-9cb9-8e5e760ee5e8,false,AwsApiCall,520815446019,Management
CloudTrail,ASIAXSQYFBAB4OKLIXPM,2021-01-18T22:45:59Z,iam.amazonaws.com,ChangePassword,us-east-1,AWS Internal,AWS Internal,,[],00128aff-5f5f-41e8-a091-4867d89effee,a07985db-ae9c-4c1b-a2b3-7b5eb814d18d,false,AwsApiCall,520815446019,Management
CloudTrail,,2021-01-18T22:45:46Z,signin.amazonaws.com,ConsoleLogin,us-east-1,172.92.157.9,"Mozilla/5.0 (Macintosh; Intel Mac OS X 11_1_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",,[],,c848ae5b-15ad-4c32-8bb5-181920665b4c,false,AwsConsoleSignIn,520815446019,Management
root,ASIAXSQYFBAB6DROWARG,2021-01-18T22:43:39Z,iam.amazonaws.com,AttachUserPolicy,us-east-1,172.92.157.9,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/IAMUserChangePassword""}]",c907698f-b1c8-4ee6-937e-03cc47686c91,6b16c481-7d05-461d-8d30-6de1a12d67c4,false,AwsApiCall,520815446019,Management
root,ASIAXSQYFBAB6DROWARG,2021-01-18T22:43:39Z,iam.amazonaws.com,CreateLoginProfile,us-east-1,172.92.157.9,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""}]",352eb63b-8d85-4623-a0ea-17b54b24cae5,87e3ef16-b5ca-481d-90cf-550d831a063e,false,AwsApiCall,520815446019,Management
root,ASIAXSQYFBAB6DROWARG,2021-01-18T22:43:39Z,iam.amazonaws.com,AddUserToGroup,us-east-1,172.92.157.9,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",f791761e-b4b0-4480-a1b5-320834f45ee6,f9984d67-fb9c-415a-9f20-c4f8cb2ce86b,false,AwsApiCall,520815446019,Management
root,ASIAXSQYFBAB6DROWARG,2021-01-18T22:43:38Z,iam.amazonaws.com,CreateUser,us-east-1,172.92.157.9,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::520815446019:user/Accountant""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDAXSQYFBAB4WNZFAP3Y""}]",fddb7840-b1fc-4e53-b960-fce97f70e10d,b96da3ff-c282-4eb8-b178-47fd4757c661,false,AwsApiCall,520815446019,Management
root,ASIAXSQYFBAB6DROWARG,2021-01-18T22:42:38Z,iam.amazonaws.com,CreateLoginProfile,us-east-1,172.92.157.9,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""}]",04cb57d6-4afe-4172-9c85-6949a938e092,e3e27b9a-3ed1-4904-aab5-d7c15bdfed83,false,AwsApiCall,520815446019,Management
root,ASIAXSQYFBAB6DROWARG,2021-01-18T22:42:37Z,iam.amazonaws.com,AddUserToGroup,us-east-1,172.92.157.9,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",689298c6-d263-4614-a909-81ef326c988d,254617e8-6409-4477-afaa-e3241e6653c1,false,AwsApiCall,520815446019,Management
root,ASIAXSQYFBAB6DROWARG,2021-01-18T22:42:37Z,iam.amazonaws.com,AttachUserPolicy,us-east-1,172.92.157.9,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/IAMUserChangePassword""}]",5f024c5b-2620-4e3b-8fcc-38e11ac80536,42912452-f8fa-419e-8c3c-854cfd6dbca6,false,AwsApiCall,520815446019,Management
root,ASIAXSQYFBAB6DROWARG,2021-01-18T22:42:37Z,iam.amazonaws.com,CreateUser,us-east-1,172.92.157.9,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDAXSQYFBABXWHXSHZYX""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::520815446019:user/CloudTrail""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""}]",59e30f7d-a5f1-4d09-aefa-0e70f2a743bc,7c6bf388-178c-4d62-80b7-c52bebd1e8ac,false,AwsApiCall,520815446019,Management
root,ASIAXSQYFBAB6DROWARG,2021-01-18T22:41:41Z,iam.amazonaws.com,CreateGroup,us-east-1,172.92.157.9,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""arn:aws:iam::520815446019:group/Reviewers""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AGPAXSQYFBABV2SLJCTD5""}]",24bdbbdc-f524-4ae4-9c97-7773cc1c7e2c,78acbcd5-3cbc-4be0-9b6d-7d939696b98b,false,AwsApiCall,520815446019,Management
root,ASIAXSQYFBAB6DROWARG,2021-01-18T22:41:41Z,iam.amazonaws.com,AttachGroupPolicy,us-east-1,172.92.157.9,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/job-function/Billing""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",f684cd73-eb39-4282-91c7-dc3e43c8ee72,858254a6-ee25-4c22-9e74-840f8e926b15,false,AwsApiCall,520815446019,Management
root,ASIAXSQYFBAB6DROWARG,2021-01-18T22:41:23Z,iam.amazonaws.com,AttachGroupPolicy,us-east-1,172.92.157.9,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AWSCloudTrail_FullAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",6ba12484-7f47-4496-9232-e0f82be27e0a,6187946c-cbf4-44f9-a87f-8fe7e5b9fdcb,false,AwsApiCall,520815446019,Management
root,ASIAXSQYFBAB6DROWARG,2021-01-18T22:41:23Z,iam.amazonaws.com,CreateGroup,us-east-1,172.92.157.9,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AGPAXSQYFBAB7U6HZ2WQE""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""arn:aws:iam::520815446019:group/CloudTrailAdmins""}]",108b4ab9-1f8f-416f-b3ca-150e010f30ae,76d2a4da-6478-462d-a502-f5f4266067a8,false,AwsApiCall,520815446019,Management
root,ASIAXSQYFBAB6DROWARG,2021-01-18T22:41:23Z,iam.amazonaws.com,AttachGroupPolicy,us-east-1,172.92.157.9,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AWSCloudTrailReadOnlyAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",394e9e8c-a6d4-4d38-85bf-075a527e854c,c802a1fd-52d2-4748-8f04-8e9ca29fe96b,false,AwsApiCall,520815446019,Management
root,,2021-01-18T22:40:16Z,signin.amazonaws.com,ConsoleLogin,us-east-1,172.92.157.9,"Mozilla/5.0 (Macintosh; Intel Mac OS X 11_1_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",,[],,95067cdc-1616-4cc9-9692-f699890f7666,false,AwsConsoleSignIn,520815446019,Management
CloudArchitect,ASIAXSQYFBAB7QCNJ7GW,2021-01-18T22:38:23Z,iam.amazonaws.com,ChangePassword,us-east-1,AWS Internal,AWS Internal,,[],43d51ceb-bbce-4eea-96f0-6ddb8d60fdcb,eda63cae-88fa-46be-aec6-363e6ac1d157,false,AwsApiCall,520815446019,Management
root,ASIAXSQYFBAB2ICH3LGZ,2021-01-18T22:32:49Z,iam.amazonaws.com,UpdateAccountPasswordPolicy,us-east-1,172.92.157.9,console.amazonaws.com,,[],0766cff4-d991-49b4-acdd-c4f7b4a09140,a1b7a762-b777-4f63-ac50-2b81acfca415,false,AwsApiCall,520815446019,Management
